"Titel","Omschrijving","datum","begin","einde","Plaats","Indoor","deelnemers"
"Tangram en andere traditionele kinderspelletjes uit China in de Etnografische Verzamelingen","TANGRAM is een Chinees legspel waarbij figuren kunnen worden gevormd uit geometrische stukken. Met zo’n puzzelstuk in de hand speuren en spelen tussen de museumstukken en in de omsloten kloostertuin.   Ouders zijn welkom!",21/07/2011,"14:00","15:30","Het Pand, Onderbergen 1, Gent",0,50
"Broodje Gent: Culinair Patershol","Wil je eens iets anders dan saaie boterhammen uit je brooddoos? Laat je dan verleiden door Broodje Gent. Wij bezorgen je een originele middagpauze en nemen je twee uurtjes mee het Patershol in.",23/07/2011,"12:00","14:00","Infostand Vizit, Corduwaniersstraat 4, Gent",0,50
"La ville qui respire - Rode Boom (BE) - € 6","‘La ville qui respire’ is een wandelvoorstelling waarbij een gids met behulp van poëtische zoekers u de stad toont. U neemt de tijd om alledaagse dingen in een andere context te zien. Gent, door de ogen van een poëet.",24/07/2011,"15:15","16:00","Sint-Baafssite, Gandastraat , Gent",0,50
"Zoektocht in Portus Ganda - meer dan water alleen! (zonder gids)","Deze zoektocht leidt je van de oudste nederzettingen naar de nieuwste haven van de stad. Boekje te koop: Kunstglasramen Mestdagh, Drabstr. 2",17/07/2011,"00:00","00:00","Oude Beestenmarkt /, Gent",0,50
"Expo 'WereldWijdWerken'","Beleef de gevolgen van de industrialisatie. Felix, Aline en Monica komen uit een grote familie. Zij nemen je mee doorheen de expo en vertellen over de turbulente veranderingen in deze periode. Met filmfragmenten en luisterposten.",20/07/2011,"10:00","18:00","MIAT, Minnemeers 9, Gent",0,100
"Carrousel des moutons - D'Irque en Fien (BE)","Een intieme voorstelling zonder woorden die je sprakeloos maakt voor kinderen en andere volwassenen. D'Irque en Fien nemen je mee naar wonderland waar ze je hun dromen onthullen.",22/07/2011,"20:30","21:30","Sint-Baafssite, Gandastraat , Gent",0,1000
"Nocturne","Een fikse wandeling tot aan de feeërieke St-Baafsabdij met verhalen over bijenwas, fakkeldovers, lichtekooien en de mannen die de gas doen branden. Met halte in een biercafé (drankje niet in de prijs inbegrepen)!",22/07/2011,"22:00","00:30","Infostand Vizit, Corduwaniersstraat 4, Gent",0,50
"Speeltijd","Stand-comedian Piv Huvluv speelt voor het eerst in Gent zijn splinternieuwe show. In zijn onnavolgbare stijl en met rijke fantasie neemt hij zijn publiek mee op een enthousiaste trip naar zijn 'speeltijd' met een resem hilarische anekdotes (www.xlp.be)",22/07/2011,"22:00","23:10","Theater Tinnenpot, Balkonzaal, Tinnenpotstraat 21, Gent",1,1000
"Rit met de koets","De bezoekers kunnen met koetsen een ritje maken in de omgeving van De Campagne",17/07/2011,"14:00","17:30","Schoolhoeve de Campagne, Gijzelstraat 14, Drongen",0,1000
"theatermonoloog 'Elfde Gebod' met Nicky Langley (oma Fonkel uit Mega Mindi, Thuis, Zone Stad, Aspe)","‘Gij zult in mirakels geloven’ is het elfde gebod.  Aangrijpende theatermonoloog over mystieke plaatsen en figuren in Vlaanderen.  Merkwaardige ontdekkingen over mirakels, geloof en bijgeloof.",20/07/2011,"17:00","18:30","theater Tinnenpot, zaal Bonbonniere, Tinnenpotstraat 21, Gent",1,100
"Romantic Paddling","Romantische rondvaart in de oude Gentse binnenstad met een Canadese kano, al dan niet voorzien van een bubbeltje.  Voor mensen met een sportieve ingesteldheid en zin voor avontuur en cultuur.",16/07/2011,"10:00","19:00","Sint Michielsbrug, Predikherenlei 2, Gent",0,50
"Tentoonstelling Leo De Budt","Het onbekend religieus oeuvre van striptekenaar Leo De Budt, vader van ""Thomas Pips""",19/07/2011,"14:30","17:30","Sint-Jacobskerk, Bij Sint-Jacobs , Gent",0,1000
"Neuzen in historisch Gent (zoektocht zonder gids)","Onder het wakende oog van de draak op het Belfort, ga je op ontdekking in de stad, langs grote monumenten en onbekende pareltjes.",20/07/2011,"00:00","00:00","Sint-Veerleplein /, Gent",0,50
"Hemadi, een kleine geschiedenis","In zijn 'kleine geschiedenis' brengt Hemadi de sporen van zijn vroegste kennismaking met de westerse cultuur, opgetekend in café op voorhanden zijnde bierkaartjes. Deze zeer spontaan tot stand gekomen schetsen werden veelal afgewerkt in het atelier.",25/07/2011,"09:00","16:30","lokettenzaal hoofdzetel VDK spaarbank, Sint-Michielsplein 16, Gent",1,50
"Expo 'Katoenkabaal'","Gent was ooit de rumoerigste van de Vlaamse textielsteden. In het MIAT zie je de evolutie van katoenplant tot afgewerkt product. Ontdek ook de vele eigenschappen van textielvezels en het hoogtechnologisch textiel.",25/07/2011,"10:00","18:00","MIAT, Minnemeers 9, Gent",0,100
"Dieren voederen","De kinderen gaan samen met de boer de aanwezige dieren voederen",19/07/2011,"17:00","18:00","Schoolhoeve de Campagne, Gijzelstraat 14, Drongen",0,1000
"Natte stadswandeling met Lunch i.s.m. Rederij De Gentenaer","Nieuwe unieke, folklorische wandeling in de stad van Gent met Dille. Of op afspraak !",21/07/2011,"10:30","13:30","A Capella Kaffee, Godshuizenlaan 33, Gent",0,50
"de GVR 6+","Een spannende en grappige voorstelling vol aanstekelijke muziek, zinderende spraakkronkels en betoverende beelden naar de bestseller van Roald Dahl. Regie: Fabio Van Hoorebeke, muziek: Joris Hermy, spel: Lulu Aertgeerts, Jolijn Antonissen en Jeroen Maes.",20/07/2011,"14:30","15:25","Toren van Babel, Bargiekaai 1, Gent",0,1000
"Het Zwaard van Koning Arthur - poppentheater met Pierke","Pierke gaat terug in de tijd en beleeft een spannend avontuur bij koning Arthur en tovenaar Merlijn! Alle klassieke Pedrolino-ingrediënten zijn aanwezig: een boeiend verhaal, humor, prachtige poppen en sfeervolle decors!",25/07/2011,"15:00","16:30","Gravensteen, Sint-Veerleplein , Gent",1,1000
"Party like there is no tomorrow","DJ Stewie: Going out with a bang!!  Dress-code= colors colors colors",24/07/2011,"23:00","05:00","Zodiac, Heilige-Geeststraat 3, Gent",1,1000
"Het Huis van Alijn, museum van de dingen die (n)ooit voorbijgaan","Hier wordt volkscultuur op een eigentijdse en verrassende manier opgevat. Open van 10 tot 18 uur tijdens de Gentse Feesten en gratis voor Gentenaars!",21/07/2011,"10:00","18:00","Het Huis van Alijn, Kraanlei 65, Gent",0,1000
"Bezoek aan De Gentse Barge","De Gentse barge kan vrij bezocht worden vanaf 15u00 tot middernacht.  Bovendek: bar + aperitiefconcerten in de vooravond  Benedendek: tafelen met Foodsie vanaf 18u00 tot 23u00, reservatie aan te raden.'s Middags enkel voor groepen en op reservatie.",19/07/2011,"15:00","23:00","Aanmeerplaats :, Kraanlei , Gent",1,100
"Rondleidingen in Hotel d'Hane Steenhuyse","Uitzonderlijk kan het Hotel d'Hane Steenhuyse - een 18de-eeuws stadspaleis - onder begeleiding van een gids worden bezocht.",20/07/2011,"17:00","18:00","Hotel d'Hane Steenhuyse, Veldstraat 55, Gent",1,100
"Hoquets","Zelfgemaakte instrumenten/ Funkpunk/ Belgotronics",20/07/2011,"22:00","23:00","Kinky Star, Vlasmarkt 9, Gent",0,50
"Zout","Een muzikale vertelling.  Met een poëtisch verhaal van De Vertelf en Noorse en Duitse liederen van Edvard H. Grieg, gezongen door Irene Carpentier (sopraan), Ineke De Vylder (mezzosopraan) en Jozefien Van Parys (piano)",17/07/2011,"16:00","17:20","Monasterium PoortAckere, Oude Houtlei 56, Gent",0,1000
"Herman Streulens (B - Gent)","Orgel",21/07/2011,"15:00","16:00","Sint-Michielskerk, Sint-Michielsplein 1, Gent",0,1000
"O Broeder! O Zuster!","Een dolle komedie van Romain Deconinck",19/07/2011,"19:30","22:30","Auditorium 61, Onderbergen 61, Gent",0,1000
"De nooit gemaakte film","Paulus volgens Pier Paolo Pasolini. Stichter van een Kerk of van een Partij?",19/07/2011,"17:30","18:30","Hof Van Ryhove, Onderstraat 20, Gent",1,50
"Filmvoorstelling : kortfilm De Veer van César","hoofdrol Pjeroo Roobjee, gastrollen Jan Decleir, Robbe de Hert, Peter Holvoet-Hanssen",23/07/2011,"14:00","18:00","Zebrastraat NV, Zebrastraat 32/001, Gent",1,100
"Nocturne","Een fikse wandeling tot aan de feeërieke St-Baafsabdij met verhalen over bijenwas, fakkeldovers, lichtekooien en de mannen die de gas doen branden. Met halte in een biercafé (drankje niet in de prijs inbegrepen)!",20/07/2011,"22:00","00:30","Infostand Vizit, Corduwaniersstraat 4, Gent",0,50
"Broekvent","Dé theaterreunie van het jaar, terug na 10 jaar! Met de hoogtepunten uit hun vorige shows én nieuw werk. Ze zetten u voor schut en elkaar voor lul. Ze zijn hemels simpel van geest, briljant in hun eenvoud en absurditeit. (zie ook xlp.be)",21/07/2011,"22:00","23:05","Minnemeers (NT2Gent), Minnemeers 9, Gent",1,1000
"In de marge. Belgische documentaire fotografie","'In de marge' is een topselectie van 22 Belgische documentaire fotografen die zich op de een of andere manier inschrijven in deze geschiedenis en de 'andere kant' van het bestaan aan het licht brengen.",19/07/2011,"09:00","17:00","Museum Dr. Guislain, Jozef Guislainstraat 43, Gent",0,100
"Sing The Truth: Angelique Kidjo, Dianne Reeves & Lizz Wright continue the legacies of Miriam Makeba, Abbey Lincoln and Odetta","n Sing The Truth eren drie grote hedendaagse zangeressen, Angelique Kidjo, Dianne Reeves en Lizz Wright de onvergetelijke Amerikaans-Afrikaanse erfenis die Miriam Makeba, Abbey Lincoln en Odetta nalieten.",14/07/2011,"22:30","00:00","Bijlokesite, Godshuizenlaan 2, Gent",0,5000
"Filmvoorstelling ""An inconvenient Truth""","De gefilmde presentatie waarmee Al gore de wereld rondtrok om zijn ongerustheid te ventileren over klimaatverandering en zijn gevolgen...",17/07/2011,"10:30","12:00","Augustijnenklooster Sint-Stefanus, Academiestraat 1, Gent",1,50
"Diafaan V. Hedendaagse glaskunst in het Sint-Elisabethbegijnhof te Sint-Amandsberg","Rondleiding in de tentoonstelling 'Diafaan V' waarbij op verschillende locaties in het begijnhof van Sint-Amandsberg, die voor de gelegenheid opengesteld zijn, glaskunstenaars hun werk tentoon stellen.",19/07/2011,"15:00","17:00","Begijnhofkerk Sint-Elisabeth, Groot Begijnhof 67, Sint-Amandsberg",0,50
"Smeltkroes van culturen","Deze wandeling geeft een beeld van het multiculturele oude Gent. Gent is altijd een poort op Europa en de wereld geweest, daarvan zijn vele getuigen terug te vinden. Deze wandeling eindigt in de Orthodoxe kerk die geheel versierd is met fresco’s.",21/07/2011,"14:00","16:30","Café Trefpunt, Bij Sint-Jacobs 18, Gent",0,50
"Leute!","Theaterfenomeen Jozef (Sef) Vanneste in een menselikke vwoorstellinge uut het leven gegrepen, met ne lach en ne troan. Wok toegankelijk en begrijpelijk voe niet-West-Vlamingen wei!",20/07/2011,"22:00","23:00","Tinnenpot, Tinnenpotstraat 21, Gent",0,50
"Gent zien vanop het water  ...met tienzitkano..... Een prachtige ervaring!","We peddelen langs historische en nooit geziene plekjes.Al eens gevaren in een tunnel midden in de stad?  FASCINEREND eigenlijk, en ...bovenal erg gezellig die GENTSEFEESTENSFEER ook in nam.(kinderactiviteiten)",24/07/2011,"20:15","22:00","Kromme Wal - Sluizeken, Krommewal , Gent",0,50
"GATE 7 , De Musical","Jongerenmusical",21/07/2011,"14:00","15:45","Theater SCALA, Dendermondsesteenweg 163-165, Gent",0,1000
"de Bende van de Prins - Averechts","Als volleerde slapstickacteurs brengen Pepijn Lievens en Wouter Bruneel het waargebeurde, dramatische verhaal van de oorlogsheld Henry Tandey. Op het slagveld maakte hij echter één vergissing die het verloop van de wereldgeschiedenis zou bepalen…",25/07/2011,"19:30","20:30","Domzaal - Kunstencentrum Vooruit, Sint-Pietersnieuwstraat 23, Gent",0,1000
"'Rechtspraak en gerechtigheid.' Themarondleiding in het Stadhuis.","In het stadhuis werd vroeger recht gesproken. Opvallend is het labyrint in de Pacificatiezaal. Die banmijl kon een aantal keren worden afgelegd als straf voor sommige overtreders van de wet.",24/07/2011,"15:30","16:15","Stadhuis, Botermarkt 1, Gent",0,50
"Havenrondvaarten met het havenjacht ""Jacob van Artevelde""","Ga tijdens de Gentse Feesten mee op verkenning in de haven. We starten aan de Rigakaai en varen helemaal tot aan ArcelorMittal.  U maakt kennis met alle dokken en met alle belangrijke spelers zoals oa Volvo, Stora Enso, Bio Base Europe, enz",20/07/2011,"16:30","18:00","Rigakaai - tegenover WEBA, Rigakaai 0375, Gent",1,100
"Workshop Ken je kleuren","Bij een kleuradvies gaan we op zoek naar de kleuren die in harmonie zijn met uw natuurlijke uitstraling. U leert hoe u er fantastisch kan uitzien en welke combinaties u het meeste flateren.",21/07/2011,"14:30","17:30","Beverhoutplein 13, Gent",0,50
"Schampavie","Voor een dag strijkt hét circus zoals het ooit was en zoals het in menig kinderboek terug te vinden is, bij u neer.In het Gents en mét een verhaal. In de stijl van de jaren dertig en met de kinderen en de volwassenen actief mee op het podium...",25/07/2011,"14:30","15:45","Turnzaal Oefenschool Wispelberg Coupure Rechts, Coupure 54, Gent",1,100
"Cabaret Best","Na Cabaret één, Cabaret-wee, Cabaret-te-rie, Cabaret Fier en Cabaret de Vijfde sluiten ze hun jarenlange samenwerking af met Cabaret Best. Elk van de acteurs brengt twee van hun favoriet nummers uit de voorbije jaren. En ze zingen ook!",24/07/2011,"19:30","21:10","Tinnenpot, Tinnenpotstraat 21, Gent",0,1000
"This appearing life - Kokliko'Theatre en Zeepcompagnie (BE) - € 4","Het perfecte samenzijn van twee mannen totdat er een verdwijnt. Een samenwerking tussen Kokliko'Theatre en Zeepcompagnie over het intiem delen van het leven en de ondraaglijke gedachte van het verdwijnen van de een.",22/07/2011,"20:00","20:50","Norbertijnerkapel, Kaatsspelplein , Gent",0,50
"Idool 1900","Met deze voorstelling brengen Walter De Buck en Wim Claeys een bloemlezing aan dialectliedjes & filmpjes uit de oude doos. Met: Olle Geris (zang), Marc Hauman (zang), Wouter Vandenabeele (viool)en Maarten Decombel (gitaar) organisatie: vzw Trefpunt",20/07/2011,"21:30","23:00","Minnemeers (NT2Gent), Minnemeers 9, Gent",1,1000
"Zomby (UK)","Compromisloze dubstep en 2step, verborgen achter een masker. Maar met een glossy kant: Zomby werd gespeeld tijdens modeshows van Prada en tijdens de tour van Lady Gaga. Animal Collective haalt hem naar All Tomorrow's Parties, 10 Days Off naar Gent.",22/07/2011,"23:00","05:55","10 Days Off - Vooruit, Sint-Pietersnieuwstraat , Gent",0,5000
